14,12,11,0,13,11,11,19,1,7,10,6,3,11,10,0,19,13,14,18,7,6,16,14,10,22,22,18,8,15,11,6,14,8,11,15,6,4,3,3,7,22,23,9,6,23,16,1,14,17,20,2,10,1,10,3,8,20,2,21,6,4,13,9,4,3,15,2,19,22,9,12,12,6,8,5,13,2,10,13,17,16,1,11,15,18,19,18,6,13,14,18,6,15,7,17,14,10,15,20,21,14,3,5,11,19,13,23,20,8,3,7,11,4,17,8,18,10,17,0,14,4,23,23,11,15,4,21,3,1,23,14,18,1,16,11,3,10,7,6,18,22,11,0,3,22,0,12,2,20
15,13,12,1,14,12,12,20,2,8,11,7,4,12,11,1,20,14,15,19,8,7,17,15,11,23,23,19,9,16,12,7,15,9,12,16,7,5,4,4,8,23,0,10,7,0,17,2,15,18,21,3,11,2,11,4,9,21,3,22,7,5,14,10,5,4,16,3,20,23,10,13,13,7,9,6,14,3,11,14,18,17,2,12,16,19,20,19,7,14,15,19,7,16,8,18,15,11,16,21,22,15,4,6,12,20,14,0,21,9,4,8,12,5,18,9,19,11,18,1,15,5,0,0,12,16,5,22,4,2,0,15,19,2,17,12,4,11,8,7,19,23,12,1,4,23,1,13,3,21
16,14,13,2,15,13,13,21,3,9,12,8,5,13,12,2,21,15,16,20,9,8,18,16,12,0,0,20,10,17,13,8,16,10,13,17,8,6,5,5,9,0,1,11,8,1,18,3,16,19,22,4,12,3,12,5,10,22,4,23,8,6,15,11,6,5,17,4,21,0,11,14,14,8,10,7,15,4,12,15,19,18,3,13,17,20,21,20,8,15,16,20,8,17,9,19,16,12,17,22,23,16,5,7,13,21,15,1,22,10,5,9,13,6,19,10,20,12,19,2,16,6,1,1,13,17,6,23,5,3,1,16,20,3,18,13,5,12,9,8,20,0,13,2,5,0,2,14,4,22
17,15,14,3,16,14,14,22,4,10,13,9,6,14,13,3,22,16,17,21,10,9,19,17,13,1,1,21,11,18,14,9,17,11,14,18,9,7,6,6,10,1,2,12,9,2,19,4,17,20,23,5,13,4,13,6,11,23,5,0,9,7,16,12,7,6,18,5,22,1,12,15,15,9,11,8,16,5,13,16,20,19,4,14,18,21,22,21,9,16,17,21,9,18,10,20,17,13,18,23,0,17,6,8,14,22,16,2,23,11,6,10,14,7,20,11,21,13,20,3,17,7,2,2,14,18,7,0,6,4,2,17,21,4,19,14,6,13,10,9,21,1,14,3,6,1,3,15,5,23
18,16,15,4,17,15,15,23,5,11,14,10,7,15,14,4,23,17,18,22,11,10,20,18,14,2,2,22,12,19,15,10,18,12,15,19,10,8,7,7,11,2,3,13,10,3,20,5,18,21,0,6,14,5,14,7,12,0,6,1,10,8,17,13,8,7,19,6,23,2,13,16,16,10,12,9,17,6,14,17,21,20,5,15,19,22,23,22,10,17,18,22,10,19,11,21,18,14,19,0,1,18,7,9,15,23,17,3,0,12,7,11,15,8,21,12,22,14,21,4,18,8,3,3,15,19,8,1,7,5,3,18,22,5,20,15,7,14,11,10,22,2,15,4,7,2,4,16,6,0
19,17,16,5,18,16,16,0,6,12,15,11,8,16,15,5,0,18,19,23,12,11,21,19,15,3,3,23,13,20,16,11,19,13,16,20,11,9,8,8,12,3,4,14,11,4,21,6,19,22,1,7,15,6,15,8,13,1,7,2,11,9,18,14,9,8,20,7,0,3,14,17,17,11,13,10,18,7,15,18,22,21,6,16,20,23,0,23,11,18,19,23,11,20,12,22,19,15,20,1,2,19,8,10,16,0,18,4,1,13,8,12,16,9,22,13,23,15,22,5,19,9,4,4,16,20,9,2,8,6,4,19,23,6,21,16,8,15,12,11,23,3,16,5,8,3,5,17,7,1
20,18,17,6,19,17,17,1,7,13,16,12,9,17,16,6,1,19,20,0,13,12,22,20,16,4,4,0,14,21,17,12,20,14,17,21,12,10,9,9,13,4,5,15,12,5,22,7,20,23,2,8,16,7,16,9,14,2,8,3,12,10,19,15,10,9,21,8,1,4,15,18,18,12,14,11,19,8,16,19,23,22,7,17,21,0,1,0,12,19,20,0,12,21,13,23,20,16,21,2,3,20,9,11,17,1,19,5,2,14,9,13,17,10,23,14,0,16,23,6,20,10,5,5,17,21,10,3,9,7,5,20,0,7,22,17,9,16,13,12,0,4,17,6,9,4,6,18,8,2
21,19,18,7,20,18,18,2,8,14,17,13,10,18,17,7,2,20,21,1,14,13,23,21,17,5,5,1,15,22,18,13,21,15,18,22,13,11,10,10,14,5,6,16,13,6,23,8,21,0,3,9,17,8,17,10,15,3,9,4,13,11,20,16,11,10,22,9,2,5,16,19,19,13,15,12,20,9,17,20,0,23,8,18,22,1,2,1,13,20,21,1,13,22,14,0,21,17,22,3,4,21,10,12,18,2,20,6,3,15,10,14,18,11,0,15,1,17,0,7,21,11,6,6,18,22,11,4,10,8,6,21,1,8,23,18,10,17,14,13,1,5,18,7,10,5,7,19,9,3
22,20,19,8,21,19,19,3,9,15,18,14,11,19,18,8,3,21,22,2,15,14,0,22,18,6,6,2,16,23,19,14,22,16,19,23,14,12,11,11,15,6,7,17,14,7,0,9,22,1,4,10,18,9,18,11,16,4,10,5,14,12,21,17,12,11,23,10,3,6,17,20,20,14,16,13,21,10,18,21,1,0,9,19,23,2,3,2,14,21,22,2,14,23,15,1,22,18,23,4,5,22,11,13,19,3,21,7,4,16,11,15,19,12,1,16,2,18,1,8,22,12,7,7,19,23,12,5,11,9,7,22,2,9,0,19,11,18,15,14,2,6,19,8,11,6,8,20,10,4
23,21,20,9,22,20,20,4,10,16,19,15,12,20,19,9,4,22,23,3,16,15,1,23,19,7,7,3,17,0,20,15,23,17,20,0,15,13,12,12,16,7,8,18,15,8,1,10,23,2,5,11,19,10,19,12,17,5,11,6,15,13,22,18,13,12,0,11,4,7,18,21,21,15,17,14,22,11,19,22,2,1,10,20,0,3,4,3,15,22,23,3,15,0,16,2,23,19,0,5,6,23,12,14,20,4,22,8,5,17,12,16,20,13,2,17,3,19,2,9,23,13,8,8,20,0,13,6,12,10,8,23,3,10,1,20,12,19,16,15,3,7,20,9,12,7,9,21,11,5
0,22,21,10,23,21,21,5,11,17,20,16,13,21,20,10,5,23,0,4,17,16,2,0,20,8,8,4,18,1,21,16,0,18,21,1,16,14,13,13,17,8,9,19,16,9,2,11,0,3,6,12,20,11,20,13,18,6,12,7,16,14,23,19,14,13,1,12,5,8,19,22,22,16,18,15,23,12,20,23,3,2,11,21,1,4,5,4,16,23,0,4,16,1,17,3,0,20,1,6,7,0,13,15,21,5,23,9,6,18,13,17,21,14,3,18,4,20,3,10,0,14,9,9,21,1,14,7,13,11,9,0,4,11,2,21,13,20,17,16,4,8,21,10,13,8,10,22,12,6
1,23,22,11,0,22,22,6,12,18,21,17,14,22,21,11,6,0,1,5,18,17,3,1,21,9,9,5,19,2,22,17,1,19,22,2,17,15,14,14,18,9,10,20,17,10,3,12,1,4,7,13,21,12,21,14,19,7,13,8,17,15,0,20,15,14,2,13,6,9,20,23,23,17,19,16,0,13,21,0,4,3,12,22,2,5,6,5,17,0,1,5,17,2,18,4,1,21,2,7,8,1,14,16,22,6,0,10,7,19,14,18,22,15,4,19,5,21,4,11,1,15,10,10,22,2,15,8,14,12,10,1,5,12,3,22,14,21,18,17,5,9,22,11,14,9,11,23,13,7
2,0,23,12,1,23,23,7,13,19,22,18,15,23,22,12,7,1,2,6,19,18,4,2,22,10,10,6,20,3,23,18,2,20,23,3,18,16,15,15,19,10,11,21,18,11,4,13,2,5,8,14,22,13,22,15,20,8,14,9,18,16,1,21,16,15,3,14,7,10,21,0,0,18,20,17,1,14,22,1,5,4,13,23,3,6,7,6,18,1,2,6,18,3,19,5,2,22,3,8,9,2,15,17,23,7,1,11,8,20,15,19,23,16,5,20,6,22,5,12,2,16,11,11,23,3,16,9,15,13,11,2,6,13,4,23,15,22,19,18,6,10,23,12,15,10,12,0,14,8
3,1,0,13,2,0,0,8,14,20,23,19,16,0,23,13,8,2,3,7,20,19,5,3,23,11,11,7,21,4,0,19,3,21,0,4,19,17,16,16,20,11,12,22,19,12,5,14,3,6,9,15,23,14,23,16,21,9,15,10,19,17,2,22,17,16,4,15,8,11,22,1,1,19,21,18,2,15,23,2,6,5,14,0,4,7,8,7,19,2,3,7,19,4,20,6,3,23,4,9,10,3,16,18,0,8,2,12,9,21,16,20,0,17,6,21,7,23,6,13,3,17,12,12,0,4,17,10,16,14,12,3,7,14,5,0,16,23,20,19,7,11,0,13,16,11,13,1,15,9
4,2,1,14,3,1,1,9,15,21,0,20,17,1,0,14,9,3,4,8,21,20,6,4,0,12,12,8,22,5,1,20,4,22,1,5,20,18,17,17,21,12,13,23,20,13,6,15,4,7,10,16,0,15,0,17,22,10,16,11,20,18,3,23,18,17,5,16,9,12,23,2,2,20,22,19,3,16,0,3,7,6,15,1,5,8,9,8,20,3,4,8,20,5,21,7,4,0,5,10,11,4,17,19,1,9,3,13,10,22,17,21,1,18,7,22,8,0,7,14,4,18,13,13,1,5,18,11,17,15,13,4,8,15,6,1,17,0,21,20,8,12,1,14,17,12,14,2,16,10
5,3,2,15,4,2,2,10,16,22,1,21,18,2,1,15,10,4,5,9,22,21,7,5,1,13,13,9,23,6,2,21,5,23,2,6,21,19,18,18,22,13,14,0,21,14,7,16,5,8,11,17,1,16,1,18,23,11,17,12,21,19,4,0,19,18,6,17,10,13,0,3,3,21,23,20,4,17,1,4,8,7,16,2,6,9,10,9,21,4,5,9,21,6,22,8,5,1,6,11,12,5,18,20,2,10,4,14,11,23,18,22,2,19,8,23,9,1,8,15,5,19,14,14,2,6,19,12,18,16,14,5,9,16,7,2,18,1,22,21,9,13,2,15,18,13,15,3,17,11
6,4,3,16,5,3,3,11,17,23,2,22,19,3,2,16,11,5,6,10,23,22,8,6,2,14,14,10,0,7,3,22,6,0,3,7,22,20,19,19,23,14,15,1,22,15,8,17,6,9,12,18,2,17,2,19,0,12,18,13,22,20,5,1,20,19,7,18,11,14,1,4,4,22,0,21,5,18,2,5,9,8,17,3,7,10,11,10,22,5,6,10,22,7,23,9,6,2,7,12,13,6,19,21,3,11,5,15,12,0,19,23,3,20,9,0,10,2,9,16,6,20,15,15,3,7,20,13,19,17,15,6,10,17,8,3,19,2,23,22,10,14,3,16,19,14,16,4,18,12
7,5,4,17,6,4,4,12,18,0,3,23,20,4,3,17,12,6,7,11,0,23,9,7,3,15,15,11,1,8,4,23,7,1,4,8,23,21,20,20,0,15,16,2,23,16,9,18,7,10,13,19,3,18,3,20,1,13,19,14,23,21,6,2,21,20,8,19,12,15,2,5,5,23,1,22,6,19,3,6,10,9,18,4,8,11,12,11,23,6,7,11,23,8,0,10,7,3,8,13,14,7,20,22,4,12,6,16,13,1,20,0,4,21,10,1,11,3,10,17,7,21,16,16,4,8,21,14,20,18,16,7,11,18,9,4,20,3,0,23,11,15,4,17,20,15,17,5,19,13
8,6,5,18,7,5,5,13,19,1,4,0,21,5,4,18,13,7,8,12,1,0,10,8,4,16,16,12,2,9,5,0,8,2,5,9,0,22,21,21,1,16,17,3,0,17,10,19,8,11,14,20,4,19,4,21,2,14,20,15,0,22,7,3,22,21,9,20,13,16,3,6,6,0,2,23,7,20,4,7,11,10,19,5,9,12,13,12,0,7,8,12,0,9,1,11,8,4,9,14,15,8,21,23,5,13,7,17,14,2,21,1,5,22,11,2,12,4,11,18,8,22,17,17,5,9,22,15,21,19,17,8,12,19,10,5,21,4,1,0,12,16,5,18,21,16,18,6,20,14
9,7,6,19,8,6,6,14,20,2,5,1,22,6,5,19,14,8,9,13,2,1,11,9,5,17,17,13,3,10,6,1,9,3,6,10,1,23,22,22,2,17,18,4,1,18,11,20,9,12,15,21,5,20,5,22,3,15,21,16,1,23,8,4,23,22,10,21,14,17,4,7,7,1,3,0,8,21,5,8,12,11,20,6,10,13,14,13,1,8,9,13,1,10,2,12,9,5,10,15,16,9,22,0,6,14,8,18,15,3,22,2,6,23,12,3,13,5,12,19,9,23,18,18,6,10,23,16,22,20,18,9,13,20,11,6,22,5,2,1,13,17,6,19,22,17,19,7,21,15
10,8,7,20,9,7,7,15,21,3,6,2,23,7,6,20,15,9,10,14,3,2,12,10,6,18,18,14,4,11,7,2,10,4,7,11,2,0,23,23,3,18,19,5,2,19,12,21,10,13,16,22,6,21,6,23,4,16,22,17,2,0,9,5,0,23,11,22,15,18,5,8,8,2,4,1,9,22,6,9,13,12,21,7,11,14,15,14,2,9,10,14,2,11,3,13,10,6,11,16,17,10,23,1,7,15,9,19,16,4,23,3,7,0,13,4,14,6,13,20,10,0,19,19,7,11,0,17,23,21,19,10,14,21,12,7,23,6,3,2,14,18,7,20,23,18,20,8,22,16
11,9,8,21,10,8,8,16,22,4,7,3,0,8,7,21,16,10,11,15,4,3,13,11,7,19,19,15,5,12,8,3,11,5,8,12,3,1,0,0,4,19,20,6,3,20,13,22,11,14,17,23,7,22,7,0,5,17,23,18,3,1,10,6,1,0,12,23,16,19,6,9,9,3,5,2,10,23,7,10,14,13,22,8,12,15,16,15,3,10,11,15,3,12,4,14,11,7,12,17,18,11,0,2,8,16,10,20,17,5,0,4,8,1,14,5,15,7,14,21,11,1,20,20,8,12,1,18,0,22,20,11,15,22,13,8,0,7,4,3,15,19,8,21,0,19,21,9,23,17
12,10,9,22,11,9,9,17,23,5,8,4,1,9,8,22,17,11,12,16,5,4,14,12,8,20,20,16,6,13,9,4,12,6,9,13,4,2,1,1,5,20,21,7,4,21,14,23,12,15,18,0,8,23,8,1,6,18,0,19,4,2,11,7,2,1,13,0,17,20,7,10,10,4,6,3,11,0,8,11,15,14,23,9,13,16,17,16,4,11,12,16,4,13,5,15,12,8,13,18,19,12,1,3,9,17,11,21,18,6,1,5,9,2,15,6,16,8,15,22,12,2,21,21,9,13,2,19,1,23,21,12,16,23,14,9,1,8,5,4,16,20,9,22,1,20,22,10,0,18
13,11,10,23,12,10,10,18,0,6,9,5,2,10,9,23,18,12,13,17,6,5,15,13,9,21,21,17,7,14,10,5,13,7,10,14,5,3,2,2,6,21,22,8,5,22,15,0,13,16,19,1,9,0,9,2,7,19,1,20,5,3,12,8,3,2,14,1,18,21,8,11,11,5,7,4,12,1,9,12,16,15,0,10,14,17,18,17,5,12,13,17,5,14,6,16,13,9,14,19,20,13,2,4,10,18,12,22,19,7,2,6,10,3,16,7,17,9,16,23,13,3,22,22,10,14,3,20,2,0,22,13,17,0,15,10,2,9,6,5,17,21,10,23,2,21,23,11,1,19
14,12,11,0,13,11,11,19,1,7,10,6,3,11,10,0,19,13,14,18,7,6,16,14,10,22,22,18,8,15,11,6,14,8,11,15,6,4,3,3,7,22,23,9,6,23,16,1,14,17,20,2,10,1,10,3,8,20,2,21,6,4,13,9,4,3,15,2,19,22,9,12,12,6,8,5,13,2,10,13,17,16,1,11,15,18,19,18,6,13,14,18,6,15,7,17,14,10,15,20,21,14,3,5,11,19,13,23,20,8,3,7,11,4,17,8,18,10,17,0,14,4,23,23,11,15,4,21,3,1,23,14,18,1,16,11,3,10,7,6,18,22,11,0,3,22,0,12,2,20
15,13,12,1,14,12,12,20,2,8,11,7,4,12,11,1,20,14,15,19,8,7,17,15,11,23,23,19,9,16,12,7,15,9,12,16,7,5,4,4,8,23,0,10,7,0,17,2,15,18,21,3,11,2,11,4,9,21,3,22,7,5,14,10,5,4,16,3,20,23,10,13,13,7,9,6,14,3,11,14,18,17,2,12,16,19,20,19,7,14,15,19,7,16,8,18,15,11,16,21,22,15,4,6,12,20,14,0,21,9,4,8,12,5,18,9,19,11,18,1,15,5,0,0,12,16,5,22,4,2,0,15,19,2,17,12,4,11,8,7,19,23,12,1,4,23,1,13,3,21
16,14,13,2,15,13,13,21,3,9,12,8,5,13,12,2,21,15,16,20,9,8,18,16,12,0,0,20,10,17,13,8,16,10,13,17,8,6,5,5,9,0,1,11,8,1,18,3,16,19,22,4,12,3,12,5,10,22,4,23,8,6,15,11,6,5,17,4,21,0,11,14,14,8,10,7,15,4,12,15,19,18,3,13,17,20,21,20,8,15,16,20,8,17,9,19,16,12,17,22,23,16,5,7,13,21,15,1,22,10,5,9,13,6,19,10,20,12,19,2,16,6,1,1,13,17,6,23,5,3,1,16,20,3,18,13,5,12,9,8,20,0,13,2,5,0,2,14,4,22
17,15,14,3,16,14,14,22,4,10,13,9,6,14,13,3,22,16,17,21,10,9,19,17,13,1,1,21,11,18,14,9,17,11,14,18,9,7,6,6,10,1,2,12,9,2,19,4,17,20,23,5,13,4,13,6,11,23,5,0,9,7,16,12,7,6,18,5,22,1,12,15,15,9,11,8,16,5,13,16,20,19,4,14,18,21,22,21,9,16,17,21,9,18,10,20,17,13,18,23,0,17,6,8,14,22,16,2,23,11,6,10,14,7,20,11,21,13,20,3,17,7,2,2,14,18,7,0,6,4,2,17,21,4,19,14,6,13,10,9,21,1,14,3,6,1,3,15,5,23
18,16,15,4,17,15,15,23,5,11,14,10,7,15,14,4,23,17,18,22,11,10,20,18,14,2,2,22,12,19,15,10,18,12,15,19,10,8,7,7,11,2,3,13,10,3,20,5,18,21,0,6,14,5,14,7,12,0,6,1,10,8,17,13,8,7,19,6,23,2,13,16,16,10,12,9,17,6,14,17,21,20,5,15,19,22,23,22,10,17,18,22,10,19,11,21,18,14,19,0,1,18,7,9,15,23,17,3,0,12,7,11,15,8,21,12,22,14,21,4,18,8,3,3,15,19,8,1,7,5,3,18,22,5,20,15,7,14,11,10,22,2,15,4,7,2,4,16,6,0
19,17,16,5,18,16,16,0,6,12,15,11,8,16,15,5,0,18,19,23,12,11,21,19,15,3,3,23,13,20,16,11,19,13,16,20,11,9,8,8,12,3,4,14,11,4,21,6,19,22,1,7,15,6,15,8,13,1,7,2,11,9,18,14,9,8,20,7,0,3,14,17,17,11,13,10,18,7,15,18,22,21,6,16,20,23,0,23,11,18,19,23,11,20,12,22,19,15,20,1,2,19,8,10,16,0,18,4,1,13,8,12,16,9,22,13,23,15,22,5,19,9,4,4,16,20,9,2,8,6,4,19,23,6,21,16,8,15,12,11,23,3,16,5,8,3,5,17,7,1
20,18,17,6,19,17,17,1,7,13,16,12,9,17,16,6,1,19,20,0,13,12,22,20,16,4,4,0,14,21,17,12,20,14,17,21,12,10,9,9,13,4,5,15,12,5,22,7,20,23,2,8,16,7,16,9,14,2,8,3,12,10,19,15,10,9,21,8,1,4,15,18,18,12,14,11,19,8,16,19,23,22,7,17,21,0,1,0,12,19,20,0,12,21,13,23,20,16,21,2,3,20,9,11,17,1,19,5,2,14,9,13,17,10,23,14,0,16,23,6,20,10,5,5,17,21,10,3,9,7,5,20,0,7,22,17,9,16,13,12,0,4,17,6,9,4,6,18,8,2
21,19,18,7,20,18,18,2,8,14,17,13,10,18,17,7,2,20,21,1,14,13,23,21,17,5,5,1,15,22,18,13,21,15,18,22,13,11,10,10,14,5,6,16,13,6,23,8,21,0,3,9,17,8,17,10,15,3,9,4,13,11,20,16,11,10,22,9,2,5,16,19,19,13,15,12,20,9,17,20,0,23,8,18,22,1,2,1,13,20,21,1,13,22,14,0,21,17,22,3,4,21,10,12,18,2,20,6,3,15,10,14,18,11,0,15,1,17,0,7,21,11,6,6,18,22,11,4,10,8,6,21,1,8,23,18,10,17,14,13,1,5,18,7,10,5,7,19,9,3
22,20,19,8,21,19,19,3,9,15,18,14,11,19,18,8,3,21,22,2,15,14,0,22,18,6,6,2,16,23,19,14,22,16,19,23,14,12,11,11,15,6,7,17,14,7,0,9,22,1,4,10,18,9,18,11,16,4,10,5,14,12,21,17,12,11,23,10,3,6,17,20,20,14,16,13,21,10,18,21,1,0,9,19,23,2,3,2,14,21,22,2,14,23,15,1,22,18,23,4,5,22,11,13,19,3,21,7,4,16,11,15,19,12,1,16,2,18,1,8,22,12,7,7,19,23,12,5,11,9,7,22,2,9,0,19,11,18,15,14,2,6,19,8,11,6,8,20,10,4
23,21,20,9,22,20,20,4,10,16,19,15,12,20,19,9,4,22,23,3,16,15,1,23,19,7,7,3,17,0,20,15,23,17,20,0,15,13,12,12,16,7,8,18,15,8,1,10,23,2,5,11,19,10,19,12,17,5,11,6,15,13,22,18,13,12,0,11,4,7,18,21,21,15,17,14,22,11,19,22,2,1,10,20,0,3,4,3,15,22,23,3,15,0,16,2,23,19,0,5,6,23,12,14,20,4,22,8,5,17,12,16,20,13,2,17,3,19,2,9,23,13,8,8,20,0,13,6,12,10,8,23,3,10,1,20,12,19,16,15,3,7,20,9,12,7,9,21,11,5
0,22,21,10,23,21,21,5,11,17,20,16,13,21,20,10,5,23,0,4,17,16,2,0,20,8,8,4,18,1,21,16,0,18,21,1,16,14,13,13,17,8,9,19,16,9,2,11,0,3,6,12,20,11,20,13,18,6,12,7,16,14,23,19,14,13,1,12,5,8,19,22,22,16,18,15,23,12,20,23,3,2,11,21,1,4,5,4,16,23,0,4,16,1,17,3,0,20,1,6,7,0,13,15,21,5,23,9,6,18,13,17,21,14,3,18,4,20,3,10,0,14,9,9,21,1,14,7,13,11,9,0,4,11,2,21,13,20,17,16,4,8,21,10,13,8,10,22,12,6
1,23,22,11,0,22,22,6,12,18,21,17,14,22,21,11,6,0,1,5,18,17,3,1,21,9,9,5,19,2,22,17,1,19,22,2,17,15,14,14,18,9,10,20,17,10,3,12,1,4,7,13,21,12,21,14,19,7,13,8,17,15,0,20,15,14,2,13,6,9,20,23,23,17,19,16,0,13,21,0,4,3,12,22,2,5,6,5,17,0,1,5,17,2,18,4,1,21,2,7,8,1,14,16,22,6,0,10,7,19,14,18,22,15,4,19,5,21,4,11,1,15,10,10,22,2,15,8,14,12,10,1,5,12,3,22,14,21,18,17,5,9,22,11,14,9,11,23,13,7
2,0,23,12,1,23,23,7,13,19,22,18,15,23,22,12,7,1,2,6,19,18,4,2,22,10,10,6,20,3,23,18,2,20,23,3,18,16,15,15,19,10,11,21,18,11,4,13,2,5,8,14,22,13,22,15,20,8,14,9,18,16,1,21,16,15,3,14,7,10,21,0,0,18,20,17,1,14,22,1,5,4,13,23,3,6,7,6,18,1,2,6,18,3,19,5,2,22,3,8,9,2,15,17,23,7,1,11,8,20,15,19,23,16,5,20,6,22,5,12,2,16,11,11,23,3,16,9,15,13,11,2,6,13,4,23,15,22,19,18,6,10,23,12,15,10,12,0,14,8
3,1,0,13,2,0,0,8,14,20,23,19,16,0,23,13,8,2,3,7,20,19,5,3,23,11,11,7,21,4,0,19,3,21,0,4,19,17,16,16,20,11,12,22,19,12,5,14,3,6,9,15,23,14,23,16,21,9,15,10,19,17,2,22,17,16,4,15,8,11,22,1,1,19,21,18,2,15,23,2,6,5,14,0,4,7,8,7,19,2,3,7,19,4,20,6,3,23,4,9,10,3,16,18,0,8,2,12,9,21,16,20,0,17,6,21,7,23,6,13,3,17,12,12,0,4,17,10,16,14,12,3,7,14,5,0,16,23,20,19,7,11,0,13,16,11,13,1,15,9
4,2,1,14,3,1,1,9,15,21,0,20,17,1,0,14,9,3,4,8,21,20,6,4,0,12,12,8,22,5,1,20,4,22,1,5,20,18,17,17,21,12,13,23,20,13,6,15,4,7,10,16,0,15,0,17,22,10,16,11,20,18,3,23,18,17,5,16,9,12,23,2,2,20,22,19,3,16,0,3,7,6,15,1,5,8,9,8,20,3,4,8,20,5,21,7,4,0,5,10,11,4,17,19,1,9,3,13,10,22,17,21,1,18,7,22,8,0,7,14,4,18,13,13,1,5,18,11,17,15,13,4,8,15,6,1,17,0,21,20,8,12,1,14,17,12,14,2,16,10
5,3,2,15,4,2,2,10,16,22,1,21,18,2,1,15,10,4,5,9,22,21,7,5,1,13,13,9,23,6,2,21,5,23,2,6,21,19,18,18,22,13,14,0,21,14,7,16,5,8,11,17,1,16,1,18,23,11,17,12,21,19,4,0,19,18,6,17,10,13,0,3,3,21,23,20,4,17,1,4,8,7,16,2,6,9,10,9,21,4,5,9,21,6,22,8,5,1,6,11,12,5,18,20,2,10,4,14,11,23,18,22,2,19,8,23,9,1,8,15,5,19,14,14,2,6,19,12,18,16,14,5,9,16,7,2,18,1,22,21,9,13,2,15,18,13,15,3,17,11
6,4,3,16,5,3,3,11,17,23,2,22,19,3,2,16,11,5,6,10,23,22,8,6,2,14,14,10,0,7,3,22,6,0,3,7,22,20,19,19,23,14,15,1,22,15,8,17,6,9,12,18,2,17,2,19,0,12,18,13,22,20,5,1,20,19,7,18,11,14,1,4,4,22,0,21,5,18,2,5,9,8,17,3,7,10,11,10,22,5,6,10,22,7,23,9,6,2,7,12,13,6,19,21,3,11,5,15,12,0,19,23,3,20,9,0,10,2,9,16,6,20,15,15,3,7,20,13,19,17,15,6,10,17,8,3,19,2,23,22,10,14,3,16,19,14,16,4,18,12
7,5,4,17,6,4,4,12,18,0,3,23,20,4,3,17,12,6,7,11,0,23,9,7,3,15,15,11,1,8,4,23,7,1,4,8,23,21,20,20,0,15,16,2,23,16,9,18,7,10,13,19,3,18,3,20,1,13,19,14,23,21,6,2,21,20,8,19,12,15,2,5,5,23,1,22,6,19,3,6,10,9,18,4,8,11,12,11,23,6,7,11,23,8,0,10,7,3,8,13,14,7,20,22,4,12,6,16,13,1,20,0,4,21,10,1,11,3,10,17,7,21,16,16,4,8,21,14,20,18,16,7,11,18,9,4,20,3,0,23,11,15,4,17,20,15,17,5,19,13
8,6,5,18,7,5,5,13,19,1,4,0,21,5,4,18,13,7,8,12,1,0,10,8,4,16,16,12,2,9,5,0,8,2,5,9,0,22,21,21,1,16,17,3,0,17,10,19,8,11,14,20,4,19,4,21,2,14,20,15,0,22,7,3,22,21,9,20,13,16,3,6,6,0,2,23,7,20,4,7,11,10,19,5,9,12,13,12,0,7,8,12,0,9,1,11,8,4,9,14,15,8,21,23,5,13,7,17,14,2,21,1,5,22,11,2,12,4,11,18,8,22,17,17,5,9,22,15,21,19,17,8,12,19,10,5,21,4,1,0,12,16,5,18,21,16,18,6,20,14
9,7,6,19,8,6,6,14,20,2,5,1,22,6,5,19,14,8,9,13,2,1,11,9,5,17,17,13,3,10,6,1,9,3,6,10,1,23,22,22,2,17,18,4,1,18,11,20,9,12,15,21,5,20,5,22,3,15,21,16,1,23,8,4,23,22,10,21,14,17,4,7,7,1,3,0,8,21,5,8,12,11,20,6,10,13,14,13,1,8,9,13,1,10,2,12,9,5,10,15,16,9,22,0,6,14,8,18,15,3,22,2,6,23,12,3,13,5,12,19,9,23,18,18,6,10,23,16,22,20,18,9,13,20,11,6,22,5,2,1,13,17,6,19,22,17,19,7,21,15
10,8,7,20,9,7,7,15,21,3,6,2,23,7,6,20,15,9,10,14,3,2,12,10,6,18,18,14,4,11,7,2,10,4,7,11,2,0,23,23,3,18,19,5,2,19,12,21,10,13,16,22,6,21,6,23,4,16,22,17,2,0,9,5,0,23,11,22,15,18,5,8,8,2,4,1,9,22,6,9,13,12,21,7,11,14,15,14,2,9,10,14,2,11,3,13,10,6,11,16,17,10,23,1,7,15,9,19,16,4,23,3,7,0,13,4,14,6,13,20,10,0,19,19,7,11,0,17,23,21,19,10,14,21,12,7,23,6,3,2,14,18,7,20,23,18,20,8,22,16
11,9,8,21,10,8,8,16,22,4,7,3,0,8,7,21,16,10,11,15,4,3,13,11,7,19,19,15,5,12,8,3,11,5,8,12,3,1,0,0,4,19,20,6,3,20,13,22,11,14,17,23,7,22,7,0,5,17,23,18,3,1,10,6,1,0,12,23,16,19,6,9,9,3,5,2,10,23,7,10,14,13,22,8,12,15,16,15,3,10,11,15,3,12,4,14,11,7,12,17,18,11,0,2,8,16,10,20,17,5,0,4,8,1,14,5,15,7,14,21,11,1,20,20,8,12,1,18,0,22,20,11,15,22,13,8,0,7,4,3,15,19,8,21,0,19,21,9,23,17
